sample,fastq_1,fastq_2,batch,run
TB-T3.DNA.MTB-031615,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031615_S198_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031615_S198_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031616,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031616_S190_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031616_S190_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031619,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031619_S201_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031619_S201_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031620,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031620_S195_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031620_S195_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031622,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031622_S167_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031622_S167_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031623,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031623_S197_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031623_S197_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031627,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031627_S70_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031627_S70_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031628,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031628_S66_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031628_S66_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031629,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031629_S67_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031629_S67_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031630,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031630_S68_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031630_S68_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031631,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031631_S69_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031631_S69_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031636,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031636_S211_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031636_S211_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031637,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031637_S213_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031637_S213_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031640,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031640_S214_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031640_S214_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031641,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031641_S203_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031641_S203_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031642,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031642_S200_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031642_S200_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031643,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031643_S204_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031643_S204_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031676,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031676_S176_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031676_S176_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031677,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031677_S175_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031677_S175_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031678,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031678_S174_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031678_S174_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031679,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031679_S173_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031679_S173_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031680,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031680_S172_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031680_S172_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031681,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031681_S171_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031681_S171_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031682,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031682_S170_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031682_S170_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031684,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031684_S212_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031684_S212_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031685,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031685_S168_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031685_S168_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031686,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031686_S167_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031686_S167_R2_001.fastq.gz,IS-1000,Walter-TB
